R1003-F.Cu.gbr        Front (Top) layer copper
R1003-In1.Cu.gbr      Inner 1 layer copper
R1003-In2.Cu.gbr      Inner 2 layer copper
R1003-F.Adhes.gbr     Front (Top) layer adhesive
R1003-B.Cu.gbr        Back (Bottom) layer copper
R1003-F.Paste.gbr     Front (Top) Solder Paste
R1003-B.Paste.gbr     Back (Bottom) Solder Paste
R1003-B.SilkS.gbr     Back (Bottom) Silk Screen
R1003-F.SilkS.gbr     Front (Top) Silk Screen
R1003-F.Mask.gbr      Front (Top) Solder Mask
R1003-B.Mask.gbr      Back (Bottom) Solder Mask
R1003-Edge.Cuts.gbr   Edge Cut (routing cut)
R1003-NPTH.drl        Non-Plated through hole drills
R1003.drl             Plated through hole drills
R1003-top.pos         Front (Top) component position file (SMT assembly)
R1003-bot.pos         Back (Bottom) component position file (SMT assembly)
