sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; Res; Tol; Pwr; C; Vmax; Type
J1;PCIEXPRESS-X1;Main:PCIEXPRESS-X1;;Amphenol FCI;10018784-10200TLF;;;;;;;
J2;CONN_01X03;Main:SOCKET254P-01X03;;Amphenol FCI;68001-403HLF;STUFF;;;;;;
J3;CONN254P-02X04;Main:CONN254P-02X04;;Amphenol FCI;68021-408HLF;STUFF;;;;;;
R14;RC0603FR-074K7L;Main:RESC0603;;Yageo;RC0603FR-074K7L;STUFF;4.7 kΩ;±1%;100 mW;;;
R10;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C3;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
R13;RC0603FR-074K7L;Main:RESC0603;;Yageo;RC0603FR-074K7L;STUFF;4.7 kΩ;±1%;100 mW;;;
R9;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C2;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
J12;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
R15;RC0603FR-074K7L;Main:RESC0603;;Yageo;RC0603FR-074K7L;STUFF;4.7 kΩ;±1%;100 mW;;;
R11;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C4;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
R16;RC0603FR-074K7L;Main:RESC0603;;Yageo;RC0603FR-074K7L;STUFF;4.7 kΩ;±1%;100 mW;;;
R12;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C5;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
A1;ART;pluggee:pluggeeLabsIcon-11x6;
J5;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J9;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J10;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J11;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J6;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J7;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J8;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;STUFF;;;;;;
J13;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;NOSTUFF;;;;;;
J4;SOCKET254P-01X02;Main:SOCKET254P-01X02_2;;Amphenol FCI;861400021YO1LF;NOSTUFF;;;;;;
FID1;FIDTOP001;Main:FIDTOP001;
FID3;FIDTOP001;Main:FIDTOP001;
FID2;FIDTOP001;Main:FIDTOP001;
